YrCaught,YrTagged,Length,Weight,Site,AgeP
8,NA,52,1.9,Site 3,0
8,NA,52,1.9,Site 3,0
8,NA,52,1.6,Site 3,0
8,NA,53,1.9,Site 3,0
8,NA,54,1.7,Site 3,0
8,NA,54,1.8,Site 3,0
8,NA,55,1.8,Site 3,0
8,NA,55,2.1,Site 3,0
8,NA,55,2.1,Site 3,0
8,NA,55,1.9,Site 3,0
8,NA,55,2,Site 3,0
8,NA,55,1.9,Site 3,0
8,NA,56,2.4,Site 3,0
8,NA,56,1.7,Site 3,0
8,NA,56,2.2,Site 3,0
8,NA,56,1.6,Site 3,0
8,NA,57,2.2,Site 3,0
8,NA,57,2.2,Site 3,0
8,NA,57,1.9,Site 3,0
8,NA,57,2.1,Site 3,0
8,NA,58,2.2,Site 3,0
8,NA,59,2,Site 3,0
8,NA,59,2.3,Site 3,0
8,NA,59,2.4,Site 3,0
8,NA,60,2.6,Site 3,0
8,NA,60,2.1,Site 3,0
8,NA,60,2.7,Site 3,0
8,NA,60,2.4,Site 3,0
8,NA,60,2.2,Site 3,0
8,NA,60,2.5,Site 3,0
8,NA,60,2.4,Site 3,0
8,NA,60,2.2,Site 3,0
8,NA,60,2.2,Site 3,0
8,NA,61,2.3,Site 3,0
8,NA,61,2.6,Site 3,0
8,NA,61,2.4,Site 3,0
8,NA,61,2.7,Site 3,0
8,NA,62,3,Site 3,0
8,NA,62,2.6,Site 3,0
8,NA,62,2.8,Site 3,0
8,NA,62,3,Site 3,0
8,NA,62,2.5,Site 3,0
8,NA,62,3.1,Site 3,0
8,NA,62,2.4,Site 3,0
8,NA,63,2.9,Site 3,0
8,NA,63,3,Site 3,0
8,NA,63,2.8,Site 3,0
8,NA,63,2.6,Site 3,0
8,NA,64,2.8,Site 3,0
8,NA,64,3.1,Site 3,0
8,NA,64,3.2,Site 3,0
8,NA,64,3,Site 3,0
8,NA,64,2.7,Site 3,0
8,NA,64,3.1,Site 3,0
8,NA,64,2.5,Site 3,0
8,8,65,3,Site 3,0
8,8,65,2.8,Site 3,0
8,8,65,2.8,Site 3,0
8,8,66,3.3,Site 3,0
8,8,66,3.4,Site 3,0
8,8,66,3.1,Site 3,0
8,8,66,2.9,Site 3,0
8,8,66,3,Site 3,0
8,8,67,3.7,Site 3,0
8,8,67,3.7,Site 3,0
8,8,67,4,Site 3,0
8,8,67,3.1,Site 3,0
8,8,68,3.5,Site 3,0
8,8,68,3.2,Site 3,0
8,8,69,3.4,Site 3,0
8,8,69,3.1,Site 3,0
8,8,69,3.7,Site 3,0
8,8,69,3.5,Site 3,0
8,8,69,3.4,Site 3,0
8,8,69,3.8,Site 3,0
8,8,69,3.3,Site 3,0
8,8,69,3.6,Site 3,0
8,8,69,3.1,Site 3,0
8,8,69,3.3,Site 3,0
8,8,70,3.7,Site 3,0
8,8,70,3.6,Site 3,0
8,8,70,4,Site 3,0
8,8,70,3.8,Site 3,0
8,8,70,4.1,Site 3,0
8,8,70,4.1,Site 3,0
8,8,71,3.9,Site 3,0
8,8,71,3.8,Site 3,0
8,8,71,4,Site 3,0
8,8,72,3.9,Site 3,0
8,8,72,3.9,Site 3,0
8,8,72,4.2,Site 3,0
8,8,72,4,Site 3,0
8,8,72,3.8,Site 3,0
8,8,72,3.6,Site 3,0
8,8,73,4.5,Site 3,0
8,8,73,4.4,Site 3,0
8,8,74,4.2,Site 3,0
8,8,74,4.5,Site 3,0
8,8,75,4.7,Site 3,0
8,8,76,5,Site 3,0
8,8,76,4.5,Site 3,0
8,8,76,4.3,Site 3,0
8,8,76,5.9,Site 3,0
8,8,76,4.4,Site 3,0
8,8,77,5.3,Site 3,0
8,8,77,5,Site 3,0
8,8,77,5.5,Site 3,0
8,8,77,5.3,Site 3,0
8,8,77,4.9,Site 3,0
8,8,78,5.6,Site 3,0
8,8,78,5.2,Site 3,0
8,8,78,4.6,Site 3,0
8,8,78,5.5,Site 3,0
8,8,78,4.2,Site 3,0
8,8,78,4.9,Site 3,0
8,8,79,5.6,Site 3,0
8,8,79,5.5,Site 3,0
8,8,80,5.8,Site 3,0
8,8,80,5.8,Site 3,0
8,8,80,5.6,Site 3,0
8,8,81,6,Site 3,0
8,8,81,6.4,Site 3,0
8,8,81,5.7,Site 3,0
8,8,81,5.6,Site 3,0
8,8,82,6.1,Site 3,0
8,8,82,6.5,Site 3,0
8,8,83,6.6,Site 3,0
8,8,83,6.5,Site 3,0
8,8,84,6.8,Site 3,0
8,8,85,6.2,Site 3,0
8,8,85,6.2,Site 3,0
8,8,85,6.1,Site 3,0
8,8,86,7.2,Site 3,0
8,8,87,7,Site 3,0
8,8,87,7.4,Site 3,0
8,8,89,7.8,Site 3,0
8,8,100,11.9,Site 3,0
8,8,101,11.7,Site 3,1
8,8,102,11.7,Site 3,1
8,8,106,12.2,Site 3,1
8,8,107,13.1,Site 3,1
8,8,108,14.1,Site 3,1
8,8,108,13.6,Site 3,1
8,8,109,13.7,Site 3,1
8,8,112,15.2,Site 3,1
8,8,115,18.4,Site 3,1
8,8,115,16.7,Site 3,1
8,8,118,20.7,Site 3,1
8,8,118,20.7,Site 3,1
8,8,120,17.8,Site 3,1
8,8,124,21.6,Site 3,1
8,8,124,19.8,Site 3,1
8,8,124,19.2,Site 3,1
8,8,126,21.2,Site 3,1
8,8,128,21,Site 3,1
8,8,128,21.7,Site 3,1
8,8,129,22.1,Site 3,1
8,8,129,24.8,Site 3,1
8,7,130,23.4,Site 3,1
8,8,130,24,Site 3,1
8,8,131,22.3,Site 3,1
8,8,132,26,Site 3,1
8,7,133,24.8,Site 3,1
8,8,139,27,Site 3,2
8,8,141,37.2,Site 3,2
8,8,141,31.1,Site 3,2
8,8,164,46.5,Site 3,2
8,NA,51,1.4,Site 1,0
8,NA,54,1.6,Site 1,0
8,NA,54,1.5,Site 1,0
8,NA,54,1.7,Site 1,0
8,NA,57,1.9,Site 1,0
8,NA,57,1.9,Site 1,0
8,NA,58,1.9,Site 1,0
8,NA,58,1.8,Site 1,0
8,NA,59,2,Site 1,0
8,NA,59,2,Site 1,0
8,NA,59,1.8,Site 1,0
8,NA,60,2.3,Site 1,0
8,NA,60,2.3,Site 1,0
8,NA,60,2.1,Site 1,0
8,NA,61,2.4,Site 1,0
8,NA,61,2.3,Site 1,0
8,NA,62,2.4,Site 1,0
8,NA,62,2.4,Site 1,0
8,NA,63,2.4,Site 1,0
8,NA,63,2.5,Site 1,0
8,8,65,2.8,Site 1,0
8,8,65,2.9,Site 1,0
8,8,65,2.5,Site 1,0
8,8,66,3,Site 1,0
8,8,66,2.7,Site 1,0
8,8,67,2.9,Site 1,0
8,8,67,3,Site 1,0
8,8,67,3,Site 1,0
8,8,67,3.2,Site 1,0
8,8,68,3.3,Site 1,0
8,8,69,3.4,Site 1,0
8,8,70,3.5,Site 1,0
8,8,70,3.4,Site 1,0
8,8,70,3.3,Site 1,0
8,8,70,3.3,Site 1,0
8,8,71,3.7,Site 1,0
8,8,71,3.5,Site 1,0
8,8,72,4.1,Site 1,0
8,8,72,3.8,Site 1,0
8,8,73,3.7,Site 1,0
8,8,73,3.7,Site 1,0
8,8,73,4.3,Site 1,0
8,8,74,4.3,Site 1,0
8,8,74,4.1,Site 1,0
8,8,74,4.1,Site 1,0
8,8,74,4.2,Site 1,0
8,8,74,4.2,Site 1,0
8,8,75,4.9,Site 1,0
8,8,75,4.5,Site 1,0
8,8,76,4.5,Site 1,0
8,8,76,4.6,Site 1,0
8,8,76,4.4,Site 1,0
8,8,76,5.2,Site 1,0
8,8,76,4.4,Site 1,0
8,8,77,4.8,Site 1,0
8,8,77,4.7,Site 1,0
8,NA,78,5.7,Site 1,0
8,8,78,4.6,Site 1,0
8,8,79,5.3,Site 1,0
8,8,80,5,Site 1,0
8,8,80,5.5,Site 1,0
8,8,81,5.4,Site 1,0
8,8,81,5.1,Site 1,0
8,8,81,5.6,Site 1,0
8,8,81,5.3,Site 1,0
8,8,81,5.3,Site 1,0
8,8,83,6.7,Site 1,0
8,8,84,6.1,Site 1,0
8,8,84,5.7,Site 1,0
8,8,86,6.6,Site 1,0
8,8,89,7.2,Site 1,0
8,8,89,7.1,Site 1,0
8,8,92,7.4,Site 1,0
8,8,96,10.8,Site 1,0
8,8,99,9.4,Site 1,0
8,7,117,15.1,Site 1,1
8,8,124,19,Site 1,1
8,8,127,22.2,Site 1,1
8,8,132,24.1,Site 1,1
8,8,133,24.5,Site 1,1
8,8,136,26.4,Site 1,1
8,7,136,25.1,Site 1,1
8,8,140,26.7,Site 1,2
8,7,143,30.4,Site 1,2
8,8,149,35.3,Site 1,2
8,8,152,35.9,Site 1,2
8,8,157,38.9,Site 1,2
8,8,158,38.2,Site 1,2
8,8,168,45.7,Site 1,2
8,8,179,67.1,Site 1,3
8,5,223,116.6,Site 1,3
8,NA,56,1.6,Site 1,0
8,NA,58,2.3,Site 1,0
8,NA,59,2.1,Site 1,0
8,NA,61,2.4,Site 1,0
8,8,68,3.3,Site 1,0
8,8,69,3.3,Site 1,0
8,8,71,3.5,Site 1,0
8,8,76,4.6,Site 1,0
8,8,76,4.1,Site 1,0
8,8,77,4.8,Site 1,0
8,8,77,4.8,Site 1,0
8,8,78,4.8,Site 1,0
8,8,78,4.7,Site 1,0
8,8,79,5.1,Site 1,0
8,8,79,5.7,Site 1,0
8,8,80,5.3,Site 1,0
8,8,80,5.2,Site 1,0
8,8,84,5.6,Site 1,0
8,8,86,6.5,Site 1,0
8,8,88,6.9,Site 1,0
8,8,91,7.4,Site 1,0
8,8,91,7.4,Site 1,0
8,8,152,33.2,Site 1,2
8,8,154,37,Site 1,2
8,8,155,40,Site 1,2
8,8,157,37.8,Site 1,2
8,8,161,43.4,Site 1,2
8,8,180,67,Site 1,3
8,NA,43,0.7,Site 3,0
8,NA,53,2,Site 3,0
8,NA,55,2.2,Site 3,0
8,NA,55,1.9,Site 3,0
8,NA,56,1.9,Site 3,0
8,NA,57,1.9,Site 3,0
8,NA,58,1.9,Site 3,0
8,NA,61,2.5,Site 3,0
8,NA,63,2.8,Site 3,0
8,NA,64,3,Site 3,0
9,9,189,91.8,Site 2,3
9,9,71,3.9,Site 2,0
9,9,97,9.8,Site 2,0
9,9,80,5.5,Site 2,0
9,9,134,25.5,Site 2,1
9,9,133,25.8,Site 2,1
9,9,85,6.7,Site 2,0
9,9,72,4.8,Site 2,0
9,9,65,3.1,Site 2,0
9,9,95,9.2,Site 2,0
9,9,96,10.4,Site 2,0
9,9,67,3.3,Site 2,0
9,9,100,11.2,Site 2,0
9,9,112,15.6,Site 2,1
9,9,137,29.5,Site 2,2
9,9,89,7.9,Site 2,0
9,9,100,12.1,Site 2,0
9,9,100,11.2,Site 2,0
9,9,106,13.9,Site 2,1
9,9,92,9.2,Site 2,0
9,9,94,8.9,Site 2,0
9,9,66,2.8,Site 2,0
9,9,155,38.4,Site 2,2
9,9,111,14.1,Site 2,1
9,9,65,2.8,Site 2,0
9,9,78,5.4,Site 2,0
9,9,67,3.2,Site 2,0
9,9,130,23.4,Site 2,1
9,9,88,7.2,Site 2,0
9,9,75,5.4,Site 2,0
9,9,133,24.6,Site 2,1
9,9,125,20.3,Site 2,1
9,9,114,14.4,Site 2,1
9,9,73,3.9,Site 2,0
9,9,183,64.7,Site 2,3
9,9,156,41.1,Site 2,2
9,9,83,6.4,Site 2,0
9,9,72,3.8,Site 2,0
9,9,133,24.9,Site 2,1
9,9,76,4.4,Site 2,0
9,9,81,5.8,Site 2,0
9,9,77,4.6,Site 2,0
9,9,67,2.7,Site 2,0
9,9,131,22.3,Site 2,1
9,9,134,25.9,Site 2,1
9,9,200,81.6,Site 2,3
9,9,65,1,Site 2,0
9,9,83,5.7,Site 2,0
9,9,75,4.6,Site 2,0
9,9,78,4.6,Site 2,0
9,9,138,26.5,Site 2,2
9,9,104,11,Site 2,1
9,9,82,5.6,Site 2,0
9,9,147,34.6,Site 2,2
9,9,84,5.4,Site 2,0
9,9,79,4.8,Site 2,0
9,9,67,3.1,Site 2,0
9,9,87,7,Site 2,0
9,9,78,4.9,Site 2,0
9,9,85,6.4,Site 2,0
9,9,79,5.7,Site 2,0
9,9,69,3.5,Site 2,0
9,9,67,3.1,Site 2,0
9,9,85,6,Site 2,0
9,9,73,4.1,Site 2,0
9,9,78,4.7,Site 2,0
9,9,108,14.5,Site 2,1
9,9,110,13.8,Site 2,1
9,9,72,4,Site 2,0
9,9,145,31.4,Site 2,2
9,9,72,3.4,Site 2,0
9,9,65,2.6,Site 2,0
9,9,98,9.6,Site 2,0
9,9,79,4.7,Site 2,0
9,9,85,6.8,Site 2,0
9,9,72,3.9,Site 2,0
9,9,65,3.1,Site 2,0
9,9,75,4.1,Site 2,0
9,9,109,13,Site 2,1
9,9,132,26.3,Site 2,1
9,NA,64,2.3,Site 2,0
9,NA,46,0.9,Site 2,0
9,NA,64,2.9,Site 2,0
9,NA,64,2.7,Site 2,0
9,NA,55,1.7,Site 2,0
9,NA,57,2.3,Site 2,0
9,NA,60,2.2,Site 2,0
9,NA,64,3.2,Site 2,0
9,NA,59,1.7,Site 2,0
9,NA,50,1.3,Site 2,0
9,NA,64,2.6,Site 2,0
9,NA,58,1.9,Site 2,0
9,NA,62,2.5,Site 2,0
9,NA,40,0.7,Site 2,0
9,NA,63,2.5,Site 2,0
9,NA,63,2.3,Site 2,0
9,NA,63,2.1,Site 2,0
9,9,128,23,Site 3,1
9,9,109,13.4,Site 3,1
9,9,92,8.8,Site 3,0
9,9,69,3.2,Site 3,0
9,9,66,2.9,Site 3,0
9,9,66,3,Site 3,0
9,9,67,3.2,Site 3,0
9,9,131,29.4,Site 3,1
9,9,115,16.3,Site 3,1
9,9,95,9.4,Site 3,0
9,9,88,7.8,Site 3,0
9,9,86,7,Site 3,0
9,9,74,4.5,Site 3,0
9,9,72,3.8,Site 3,0
9,9,66,3.3,Site 3,0
9,9,72,4,Site 3,0
9,9,67,3.2,Site 3,0
9,9,67,3.3,Site 3,0
9,9,120,17.1,Site 3,1
9,9,115,17.2,Site 3,1
9,9,102,11.6,Site 3,1
9,9,97,9.1,Site 3,0
9,9,105,12.2,Site 3,1
9,9,69,3.6,Site 3,0
9,9,65,3.2,Site 3,0
